pedestrianId simTime groupId-PID5
1 0.0 0
2 0.0 0
3 0.0 0
4 0.0 0
5 0.0 0
6 0.0 1
7 0.0 1
8 0.0 1
9 0.0 1
10 0.0 1
11 0.0 1
12 0.0 1
13 0.0 1
14 0.0 1
15 0.0 1
16 0.0 1
17 0.0 1
18 0.0 1
19 0.0 1
20 0.0 1
21 0.0 1
22 0.0 1
23 0.0 1
24 0.0 1
25 0.0 1
26 0.0 1
27 0.0 1
28 0.0 1
29 0.0 1
30 0.0 1
31 0.0 1
32 0.0 1
33 0.4 1
34 0.4 1
35 0.4 1
2 0.5 0
3 0.5 0
5 0.5 0
9 0.5 1
11 0.5 1
16 0.5 1
18 0.5 1
19 0.5 1
20 0.5 1
24 0.5 1
28 0.5 1
30 0.5 1
1 0.6 0
4 0.6 0
8 0.6 1
10 0.6 1
12 0.6 1
13 0.6 1
14 0.6 1
15 0.6 1
21 0.6 1
23 0.6 1
26 0.6 1
29 0.6 1
6 0.7 1
7 0.7 1
17 0.7 1
25 0.7 1
27 0.7 1
31 0.7 1
32 0.7 1
22 0.8 1
36 0.8 1
37 0.8 1
38 0.8 1
39 0.8 1
40 0.8 1
41 0.8 1
42 0.8 1
43 0.8 1
44 0.8 1
45 0.8 1
46 0.8 1
47 0.8 1
48 0.8 1
49 0.8 1
5 0.9 0
18 0.9 1
24 0.9 1
33 0.9 1
34 0.9 1
9 1.0 1
11 1.0 1
16 1.0 1
19 1.0 1
20 1.0 1
28 1.0 1
30 1.0 1
35 1.0 1
2 1.1 0
3 1.1 0
10 1.1 1
1 1.2 0
8 1.2 1
12 1.2 1
13 1.2 1
15 1.2 1
21 1.2 1
29 1.2 1
50 1.2 1
51 1.2 1
52 1.2 1
53 1.2 1
54 1.2 0
55 1.2 1
56 1.2 1
57 1.2 1
4 1.3 0
6 1.3 1
7 1.3 1
14 1.3 1
17 1.3 1
23 1.3 1
25 1.3 1
26 1.3 1
31 1.3 1
37 1.3 1
43 1.3 1
45 1.3 1
47 1.3 1
48 1.3 1
5 1.4 0
18 1.4 1
19 1.4 1
20 1.4 1
24 1.4 1
27 1.4 1
